A2;de;en
Europa;Europe
der Süden;the south
hassen;to hate
beinahe;almost
klug;clever, smart, savvy
die Abteilung;the department
träumen;to dream
die Vorstellung;the imagination, notion, introduction, perception, idea, concept
schick;fashionable, fancy, chic, posh
der Samstag;the Saturday
der Gast;the guest
die Mitte;the middle
das Tausend;the thousand
der Kuchen;the cake, pie
wundervoll;marvelous, wunderful
die Kohle;the coal
springen;to jump
teuer;expensive
die Medizin;the medicine
das Video;the video
scharf;sharp, spicy
der Beruf;the profession
das Hemd;the shirt
abholen;to pick up
trotz;despite, in spite of
langweilig;boring
die Rechnung;the bill, the invoice, the calculation
schwach;weak
der Winter;the Winter
entlassen;to dismiss, release, discharge
handeln;to deal, trade, negotiate, bargain, act
die Brust;the breast, the chest
die Größe;the height, the size
die Zigarette;the cigarette
zählen;to count
das Handy;the cell phone, mobile phone
seitdem;since which
das College;the college, university
die Toilette;the restroom, lavatory
neulich;recent, newly, recently, lately
hauen;to chop, cut, bash, hew, hit
widmen;to dedicate, devote
der Termin;the appointment, the date
erlauben;to allow, permit
wetten;to bet, wager
der Spiegel;the mirror
enden;to end
die Menschheit;the humanity, human race, human kind, mankind
nieder;down, low, mean
selbstverständlich;self
der Sturm;the storm
lösen;to solve
der Motor;the motor
reiten;to ride
funktionieren;to function
überprüfen;to review
unterschreiben;to sign a signature, to sign at the bottom
die Tatsache;the fact
freundlich;friendly
der Selbstmord;the suicide
annehmen;to accept, take, adopt, assume, suppose
besprechen;to discuss
die Zunge;the tongue
die Treppe;the stair or stairs
der Streit;the argument
der Bauch;the belly, stomach
eifersüchtig;jealous
die Decke;1. the blanket. 2. the ceiling
drücken;to press
der Deutsche;the male German
erste;first, initial, prime
außerhalb;outside, beyond
der Montag;the Monday
peinlich;embarrassing
schlau;smart, schrewd, clever, sly
blau;blue, drunk
wild;wild
frisch;fresh
der Inspektor;the inspector
mehrere;several, various, umpteen
aufmachen;to open up
die Eisenbahn;the railway
das Papier;the paper, the document
zurückkommen;to come back
landen;to land, disembark, touch down
vergeben;1. to forgive 2. to award
verhaften;to arrest
das Talent;the talent
der Geschmack;the taste
das Labor;the laboratory
zwölf;twelve
ausgehen;to go out, to end, finish
der Griff;the grip, the fingering
das Ei;the egg
wählen;to pick, choose, vote, dial, elect
der Osten;the east
der Alkohol;the alcohol
die Erklärung;the explanation, clarification, declaration
der Bürgermeister;the mayor
reinkommen;to come in
verändern;to alter, change, modify, diversify
behandeln;to treat, approach, treat
die Absicht;the intention, intent, purpose, aim
die Aussage;the statement, assertion, testimony
das Feld;the field
schief;crooked, lopsided
die Mühe;the effort, toil, hassle, trouble
