B1;de;en
umarmen;to embrace
reif;ripe
die Schublade;the drawer
der Kosmos;the cosmos
verdanken;to owe
die Kneipe;the bar, pub, tavern
das Konzept;the concept
der Bezug;the reference, pillow/cushion cover
der Schwager;the brother
fit;fit
das Gemüse;the vegetable, vegetables
insgesamt;altogether, overall, collectively
Israel;Israel
exakt;exact
die Qualität;the quality
die Hinsicht;the respect, regard
der Autounfall;the car accident
binden;to tie sth
vorlesen;to read aloud
gratis;free, without charge
der Einbrecher;the male burglar
versorgen;to provide, supply, furnish, cater
bedeckt;covered, overcast
verteilen;to distribute, to spread
der Fuchs;the fox
beurteilen;to assess, judge, appraise
parken;to park
die Gemeinschaft;the community, fellowship
dreckig;dirty
der Aufenthalt;the stopover, the stay, the residence
heilig;holy
organisieren;to organise
endgültig;final, ultimate, definite, permanent
die Praxis;the practice
braun;brown
das Silber;the silver
weltweit;worldwide
der Topf;the pot
bemerken;to notice sth.
ablehnen;to refuse, reject, decline
die Autorität;the authority
der Teenager;the teenager
die Konkurrenz;the competition, competitive, rivalry
der Babysitter;the babysitter
der Maler;the painter
die Dose;the can, tin
der Fortschritt;the progress
der Lastwagen;the truck, the lorry
kräftig;strong
der Tango;the tango
angehen;to approach or tackle, address sth, concern sth
der Löffel;the spoon
starren;to stare
geeignet;suitable, convenient, appropriate, properly
die Schicht;the layer, shift, stratum
eventuell;maybe, possible
die Burg;the castle
der Wohnwagen;The RV, Trailer, caravan
der Buchhalter;the bookkeeper
angesichts;in view of, in light of, considering
gelten;to be applicable to sth, to be in force, to be valid
der Februar;the February
der Dampf;the steam
der Euro s;the euro
lila;purple
die Garderobe;the wardrobe, cloakroom
der Italiener;the male Italian person
der Schoß;the lap
die Schweiz;the Switzerland
sich beschweren;to complain
verbreiten;to distribute, to spread
aussuchen;to choose, pick, pick out
gelb;yellow
plaudern;to chat, talk, have a chat
stundenlang;for hours
die Schere;the scissors
einziehen;to move in, collect, seize, draft
beeinflussen;to influence
streichen;to paint, withdraw, cancel, stroke
aufstellen;to deploy, establish, arrange, rank
der Sprecher;the speaker
doof;dumb, silly, nerdy
hilflos;helpless, awkward
steif;stiff
